Title,URL,Price,Currency Code,Gender,Category,Store Name,Image URL,Saves
The Thinker's Thesaurus: Sophisticated Alternatives to Common Words (Expanded Second Edition),http://amazon.com/dp/0393337944/?tag=svpply01-20,15.18,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/636024.jpg,1845
100 Ghosts,http://www.amazon.com/100-Ghosts-Gallery-Harmless-Haunts/dp/1594746478/ref=sr_1_1?ie=UTF8&qid=1378932278&sr=8-1&keywords=100+ghosts,8.00,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/3330811.jpg,209
The Do Book Co. - Do Improvise – Less push. More pause. Better results. A new approach to work (and life),http://thedobook.co/collections/guidebooks/products/do-improvise-less-push-more-pause-better-results-a-new-approach-to-work-and-life,3.00,GBP,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2879481.jpg,91
"Manage Your Day-to-Day: Build Your Routine, Find Your Focus, and Sharpen Your Creative Mind: Amazon.fr: Scott Belsky, Jocelyn K. Glei: Livres anglais et étrangers",http://www.amazon.fr/gp/product/1477800670/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=1477800670&linkCode=as2&tag=swiswidesgonn-20,8.00,EUR,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2898841.jpg,55
Product Design for the Web: principles of designing and releasing web products: Randy J. Hunt: 9780321929037: Amazon.com: Books,http://www.amazon.com/gp/product/0321929039/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=0321929039&linkCode=as2&tag=vocabinet-20,39.00,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2783202.jpg,76
The Do Book Co. - Do Disrupt – Change the status quo or become it,http://thedobook.co/collections/guidebooks/products/do-disrupt-change-the-status-quo-or-become-it,3.00,GBP,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2879479.jpg,46
The Do Book Co. - Do Story – How to tell your story so the world listens,http://thedobook.co/collections/guidebooks/products/do-story-how-to-tell-your-story-so-the-world-listens,3.00,GBP,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2879483.jpg,43
Campfire Cuisine,http://www.amazon.com/Campfire-Cuisine-Gourmet-Recipes-Outdoors/dp/1594746281,12.00,USD,neutral,other,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2940694.jpg,387
"The Legend of Zelda: Hyrule Historia: Shigeru Miyamoto, Eiji Aonuma, Patrick Thorpe, Akira Himekawa: 9781616550417: Amazon.com: Books",http://www.amazon.com/The-Legend-Zelda-Hyrule-Historia/dp/1616550414/ref=zg_bs_books_2,20.00,USD,neutral,other,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2428629.jpg,3
"Barnes & Noble.com - Image Viewer: The Art of Instruction, by Katrien Van der Schueren, Hardcover",http://search.barnesandnoble.com/booksearch/imageviewer.asp?ean=9781452101118&imId;=,,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/818426.jpg,115
THE DICTIONARY OF THE VULGAR TONGUE (Reference),http://www.amazon.com/exec/obidos/ASIN/1848680627/ref=nosim/0sil8,103.54,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/1340990.jpg,68
The Visual Display of Quantitative Information : Hardback : Edward R. Tufte : 9780961392147,http://www.bookdepository.co.uk/Visual-Display-Quantitative-Information-Edward-Tufte/9780961392147,,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2124610.jpg,3
Camps: A Guide to 21st-Century Space,http://www.amazon.com/Camps-Guide-21st-Century-Charlie-Hailey/dp/0262512874/ref=sr_1_10?ie=UTF8&qid=1329487408&sr=8-10,21.86,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/1294797.jpg,49
Big Brand Theory,http://amazon.com/dp/1584234458/?tag=svpply01-20,29.16,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/1091446.jpg,944
Wiley: Designing Information: Human Factors and Common Sense in Information Design,http://www.wiley.com/WileyCDA/WileyTitle/productCd-111834197X.html,,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2241125.jpg,27
Popular Lies About Graphic Design: Craig Ward: 9788415391357: Amazon.com: Books,http://www.amazon.com/Popular-Lies-About-Graphic-Design/dp/8415391358/ref=sr_1_1?s=books&ie=UTF8&qid=1355256268&sr=1-1&keywords=popular+lies+graphic+design,,USD,neutral,other,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/2214603.jpg,4
The Manual,http://alwaysreadthemanual.com/,,USD,neutral,media,Future Bookshelf,https://s3.amazonaws.com/assets.svpply.com/large/1103661.jpg,13
